nombre_cnf,vsids,dlis,restart,resultado,num_vars,num_clausulas,densidad,tamanio_prom_clausula,vars_positivas,vars_negativas,clausulas_len_2,clausulas_len_1,blocked,blockings,candidates,blockres,pure,pureclauses,chronological,compacts,conflicts,backtracked,conditioned,conditionings,condcands,condassinit,condcondinit,condautinit,condassrem,condcondrem,condautrem,condprops,covered,coverings,asymmetric,decisions,searched,eliminated,elimphases,elimrounds,elimtried,elimgates,elimequivs,elimands,elimites,elimxors,elimsubst,elimres,elimrestried,ext.prop._calls,propagating,explained,falsified,ext.clause_calls,learned,conflicting,ext.final_check,fixed,failed,probefailed,transredunits,probingphases,probesuccess,probingrounds,probed,hbrs,hbrsizes,hbreds,hbrsubs,units,binaries,flushed,hyper,flushings,instantiated,instrounds,bumped,recomputed,promoted1,promoted2,improvedglue,lucky,extendbytes,learned_lits,minimized,shrunken,minishrunken,otfs,propagations,coverprops,probeprops,searchprops,transredprops,vivifyprops,walkprops,reactivated,reduced,reductions,collections,rephased,rephasedbest,rephasedflip,rephasedinv,rephasedorig,rephasedrand,rephasedwalk,rescored,restarts,reused,reusedlevels,restored,restorations,literals,stabilizing,restartstab,reusedstab,substituted,decompositions,subsumed,subsumephases,subsumerounds,deduplicated,transreds,transitive,subirr,subred,subtried,subchecks,subchecks2,elimotfsub,elimbwsub,eagersub,eagertried,strengthened,elimotfstr,elimbwstr,ternary,phases,htr3,htr2,trail_reuses,levels,assumptions,vivified,vivifications,vivifychecks,vivifysched,vivifyunits,vivifyinst,vivifysubs,vivifystrs,vivifystrirr,vivifystred1,vivifystred2,vivifystred3,vivifydecs,vivifyreused,walked,flips,broken,weakened,extensions,flipped,total_process_time_since_initialization,total_real_time_since_initialization,maximum_resident_set_size_of_process,tiempo_segundos
parity_n40_8.cnf,1,0,1,SATISFIABLE,40,781,19.525,2.0486555697823303,40,40,0.998719590268886,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,30.21,0.002193450927734375
bmc_flipflop_d11_4.cnf,1,0,1,UNSATISFIABLE,12,24,2.0,1.9166666666666667,12,12,0.9166666666666666,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,30.21,0.0019373893737792969
pigeon_21_into_20_1.cnf,1,0,1,TIMEOUT,420,4221,10.05,2.08955223880597,420,420,0.9950248756218906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
pigeon_11_into_10_5.cnf,1,0,1,UNSATISFIABLE,110,561,5.1,2.156862745098039,110,110,0.9803921568627451,,0,0,0,0,0,0,361636,0,2603958,2782558,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2926848,9298062,19,13,13,981,0,0,0,0,0,0,32382,32272,0,0,0,0,0,2568061,0,0,65,0,0,0,31,0,31,3040,3,9,3,3,9,64,0,0,0,0,0,113305461,7078987,879,134602,953133,0,8448,75598931,0,29840601,3057736,37190,40461082,0,34180,34594771,26060,76120,5729951,0,1232785,131,131,71,23,7,6,6,7,22,0,65411,65381,563179,0,0,0,6,317,314,0,62,1188720,16,29,0,16,0,0,64530,106460,11008980,131984,0,0,1122998,56497144,65434,0,0,121,44,121,0,0,0,0,395,16,2507,42279,0,9,153,242,0,18,181,43,22876,7135,22,483363,483648,198,0,0,51.95,51.91,35.12,51.912920236587524
random3sat_n1000_r3.76_15.cnf,1,0,1,SATISFIABLE,1000,3760,3.76,3.0,993,994,,,0,0,0,0,0,0,6285,0,21016,39214,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50855,313454,73,2,3,1954,0,0,0,0,0,0,26332,25948,0,0,0,0,0,20136,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3048088,43302,184,154,4959,0,17512,1139234,0,64326,88354,8,2465570,0,0,2384379,0,27616,53575,0,13470,11,11,6,1,1,1,1,1,1,0,299,98,397,0,0,0,2,6,3,0,4,265,2,4,0,2,0,1,0,12546,131197,0,0,0,264,442992,12,0,0,31,3,31,0,0,0,0,0,2,7647,9199,0,0,0,0,0,0,0,0,25883,5488,1,5311,120670,483,1,29,0.68,0.68,30.21,0.6820118427276611
random3sat_n2000_r4.26_13.cnf,1,0,1,TIMEOUT,2000,8520,4.26,3.0,1995,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
bmc_flipflop_d11_9.cnf,1,0,1,UNSATISFIABLE,12,24,2.0,1.9166666666666667,12,12,0.9166666666666666,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,30.21,0.0020291805267333984
bmc_flipflop_d7_7.cnf,1,0,1,UNSATISFIABLE,8,16,2.0,1.875,8,8,0.875,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,30.21,0.0019915103912353516
bmc_flipflop_d7_2.cnf,1,0,1,UNSATISFIABLE,8,16,2.0,1.875,8,8,0.875,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,30.21,0.002175569534301758
parity_n30_7.cnf,1,0,1,SATISFIABLE,30,436,14.533333333333333,2.0642201834862384,30,30,0.9977064220183486,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,30.21,0.004532814025878906
